Maximum Stress (MPa),Group ID
12.29631728045326,71725:100:40:5%
20.377049180327862,71725:100:0:8%
24.954285714285714,71725:100:0:8%
21.270857142857142,71725:100:0:8%
19.76195965417867,71725:100:0:5%
21.96829971181556,71725:100:0:5%
14.044699140401145,71725:100:0:5%
22.78526912181303,71725:100:0:5%
21.252124645892355,71725:100:0:5%
12.83934426229508,71125:100:20:HMW
12.6625,71125:100:20:HMW
11.938328530259364,71125:100:20:HMW
12.218079096045198,71125:100:20:HMW
11.95,71125:100:20:HMW
13.168481375358164,71125:100:20:HMW
13.652571428571427,71125:100:30:HMW
13.29565217391304,71125:100:30:HMW
13.149279538904898,71125:100:30:HMW
11.521714285714284,71125:100:40:HMW
11.929577464788734,71125:100:40:HMW
11.722766570605186,71125:100:40:HMW
30.64848484848485,71125:100:20:LMW
44.565714285714286,71125:100:20:LMW
44.32873563218391,71125:100:20:LMW
44.88882521489971,71125:100:20:LMW
43.51525423728813,71125:100:20:LMW
46.35,71125:100:20:LMW
47.281142857142854,71125:100:30:LMW
44.86033519553073,71125:100:30:LMW
48.824022346368714,71125:100:30:LMW
46.97062146892655,71125:100:30:LMW
47.07999999999999,71125:100:30:LMW
45.60403458213256,71125:100:30:LMW
52.0,71125:100:40:LMW
56.48342857142857,71125:100:40:LMW
54.981034482758616,71125:100:40:LMW
56.85,71125:100:40:LMW
54.18612716763006,71125:100:40:LMW
52.2125,71125:100:40:LMW
5.122315375439426,91525:PVA100:20
5.4936626964938355,91525:PVA100:20
5.639106016172436,91525:PVA100:20
5.470245236820614,91525:PVA100:20
5.101486628305431,91525:PVA100:20
6.477688572765757,91525:PVA100:20
6.47930838409965,91525:PVA100:20
6.183414618569606,91525:PVA100:20
6.834360238300116,91525:PVA100:20
6.902736844057572,91525:PVA100:20
7.812124354254922,91525:PVA100:30
7.994997179987703,91525:PVA100:30
7.508209644333279,91525:PVA100:30
7.231673202514296,91525:PVA100:30
8.750868313267251,91525:PVA100:30
8.585786949888783,91525:PVA100:30
8.972887044486358,91525:PVA100:30
8.350556721293335,91525:PVA100:30
7.123419854124964,91525:PVA100:40
7.155773744234333,91525:PVA100:40
7.496650034121304,91525:PVA100:40
6.591721928151004,91525:PVA100:40
7.926033877334787,91525:PVA100:40
