Size,Binder Composition,Feed Mix (g Bioglass : g PEG6000),Final Volume (cm^3),Final Mass (g),Volume Loss (cm^3),Volume Loss (%),Mass Loss (g),Mass Loss (%),Porosity (%)
Evans 12mm,PVA Glycerol,100:20,3.8665506425,4.935,-0.453828107500001,-10.504359311090514,-1.5140000000000002,-23.476507985734223,52.728466616022665
Evans 12mm,PVA Glycerol,100:20,3.829169808,4.927,-0.4531896090000002,-10.582708382695293,-1.5050000000000008,-23.398631840796032,52.34437472576003
Evans 12mm,PVA Glycerol,100:20,3.820852728,4.922,-0.4355844165000002,-10.23354513910408,-1.5040000000000004,-23.40491752256459,52.28910683722739
Evans 12mm,PVA Glycerol,100:20,3.835362056,4.85,-0.4383566034999999,-10.257029964421784,-1.4450000000000005,-22.95472597299445,53.16488326085958
Evans 12mm,PVA Glycerol,100:30,3.852494233,4.557,-0.4108555175000008,-9.636917952880037,-1.8389999999999995,-28.75234521575985,56.18999859051112
Evans 12mm,PVA Glycerol,100:30,3.8746199625,4.592,-0.4492150905000005,-10.389274451816153,-1.857,-28.795162040626455,56.10561146122366
Evans 12mm,PVA Glycerol,100:30,3.86439162,4.575,-0.4508026754999998,-10.446868544716722,-1.891,-29.245283018867923,56.15236210339249
Evans 12mm,PVA Glycerol,100:30,3.785930280000001,4.526,-0.5603707424999991,-12.89304950575358,-1.875,-29.29229807842525,55.723001420504346
Evans 12mm,PVA Glycerol,100:30,3.85582923,4.502,-0.5405881859999999,-12.296106917250912,-1.9350000000000005,-30.06058723007613,56.75619152336249
Evans 12mm,PVA Glycerol,100:30,3.9142212,4.519,-0.4977495795000011,-11.281796829044502,-1.968,-30.337598273470014,57.24044150331351
Evans 12mm,PVA Glycerol,100:40,3.95531532,4.31,-0.3875293995,-8.923399857239588,-2.0780000000000003,-32.529743268628685,59.64174365000321
Evans 12mm,PVA Glycerol,100:40,4.020734098,4.298,-0.4672753474999993,-10.411639128088805,-2.221,-34.06964258321828,60.40892501089109
Evans 12mm,PVA Glycerol,100:40,4.068543600000001,4.206,-0.4730385419999994,-10.415721376596856,-2.3039999999999994,-35.39170506912442,61.71166070881537
Evans 12mm,PVA Glycerol,100:40,3.998362368,4.186,-0.5138411985000007,-11.387810654530686,-2.245,-34.909034364795524,61.22486589063529
Evans 12mm,PVA Glycerol,100:40,3.855034696,4.261,-0.624333992,-13.937990718927844,-2.2299999999999995,-34.355261130796485,59.06267329355968
Evans 12mm,PVA Glycerol,100:40,4.015702500000001,4.234,-0.3824430674999988,-8.695552742184194,-2.186,-34.04984423676012,60.94959354812395
Evans 12mm,PVA PEG200,100:20,3.41639529,4.84,-0.5779341260000002,-14.468864878419437,-1.5419999999999998,-24.161704794735194,47.529707764215054
Evans 12mm,PVA PEG200,100:20,3.453702945,4.881,-0.5643618749999995,-14.045614002812416,-1.5409999999999997,-23.995639987542813,47.65682496246712
Evans 12mm,PVA PEG200,100:20,3.416105518,4.868,-0.5307530899999997,-13.447481724432722,-1.5869999999999995,-24.585592563903948,47.22168406500133
Evans 12mm,PVA PEG200,100:20,3.4276525920000003,4.905,-0.566676824,-14.187032790287018,-1.606,-24.665949930886192,46.99968512250361
Evans 12mm,PVA PEG200,100:20,3.416495071,4.868,-0.5778343450000003,-14.466366812045637,-1.5829999999999993,-24.53883118896294,47.227701913960615
Evans 12mm,PVA PEG200,100:20,3.4123729710000004,4.864,-0.5514394969999996,-13.911846270523402,-1.5590000000000002,-24.272146971820025,47.20736869060492
Evans 12mm,PVA PEG200,100:20,3.3604071749999993,4.903,-0.5796698890000003,-14.71214597035101,-1.6230000000000002,-24.869751762182048,45.96113413173134
Evans 12mm,PVA PEG200,100:20,3.41759421,4.851,-0.5818213640000001,-14.547659607628464,-1.657,-25.460971112476955,47.42890594180089
Evans 12mm,PVA PEG200,100:20,3.4192791,4.868,-0.5377518239999994,-13.58978067971246,-1.6429999999999998,-25.234219013976343,47.27066992095021
