Sample ID,Group ID,Size,Date Tested,Binder Composition,Feed Mix (g Bioglass : g PEG6000),Particle Size (microns),Sintering Temperature (°C),Sintering Time (hours),Final Volume (cm^3),Final Mass (g),Volume Loss (cm^3),Volume Loss (%),Mass Loss (g),Mass Loss (%),Compressive Load (N),Cross-Sectional Area (mm^2),Maximum Stress (MPa),Porosity (%)
93,71725:100:0:8%,Evans 12mm,2025-07-17,PVA,100:0,<90,930,6,3.53,5.403,-0.4700000000000002,-11.750000000000005,-0.47800000000000065,-8.127869409964303,4170.0,160.45454545454544,25.988668555240796,43.27
94,71725:100:0:8%,Evans 12mm,2025-07-17,PVA,100:0,<90,930,6,3.63,5.395,-0.3700000000000001,-9.250000000000004,-0.492,-8.357397655851878,4203.0,165.0,25.472727272727273,44.9
95,71725:100:0:8%,Evans 12mm,2025-07-17,PVA,100:0,<90,930,6,3.55,5.389,-0.4500000000000002,-11.250000000000004,-0.49099999999999966,-8.350340136054415,4233.0,161.36363636363635,26.232676056338033,43.85
96,71725:100:0:8%,Evans 12mm,2025-07-17,PVA,100:0,<90,930,6,3.5,5.437,-0.5,-12.5,-0.47299999999999986,-8.00338409475465,4296.0,159.0909090909091,27.00342857142857,42.47
97,71725:100:0:8%,Evans 12mm,2025-07-17,PVA,100:0,<90,930,6,3.49,5.368,-0.5099999999999998,-12.749999999999995,-0.47799999999999976,-8.176530961341083,3756.0,158.63636363636365,23.676790830945556,43.08
98,71725:100:0:8%,Evans 12mm,2025-07-17,PVA,100:0,<90,930,6,3.45,5.418,-0.5499999999999998,-13.749999999999996,-0.45500000000000007,-7.747318235995233,4090.0,156.81818181818184,26.08115942028985,41.9
99,71725:100:0:5%,Evans 12mm,2025-07-17,PVA,100:0,<90,930,6,3.51,5.414,-0.4900000000000002,-8.310719131614658,-0.4820000000000002,-8.175033921302582,4069.0,159.54545454545453,25.503703703703707,42.84
100,71725:100:0:5%,Evans 12mm,2025-07-17,PVA,100:0,<90,930,6,3.48,5.376,-0.52,-8.861622358554873,-0.492,-8.384458077709612,3956.0,158.1818181818182,25.00919540229885,42.8
101,71725:100:0:5%,Evans 12mm,2025-07-17,PVA,100:0,<90,930,6,3.47,5.437,-0.5299999999999998,-8.96178559350693,-0.4769999999999994,-8.06560703415623,4174.0,157.72727272727275,26.463400576368873,41.94
102,71725:100:0:5%,Evans 12mm,2025-07-17,PVA,100:0,<90,930,6,3.39,5.498,-0.6099999999999999,-10.255548083389373,-0.4500000000000002,-7.565568258238066,5050.0,154.0909090909091,32.772861356932154,40.01
103,71725:100:0:5%,Evans 12mm,2025-07-17,PVA,100:0,<90,930,6,3.37,5.472,-0.6299999999999999,-10.632911392405061,-0.4529999999999994,-7.645569620253155,4905.0,153.1818181818182,32.02077151335312,39.85
104,71725:100:0:5%,Evans 12mm,2025-07-17,PVA,100:0,<90,930,6,3.4,5.539,-0.6000000000000001,-10.00333444481494,-0.4590000000000005,-7.652550850283436,5548.0,154.54545454545453,35.898823529411764,39.59
105,71725:100:40:5%,Evans 12mm,2025-07-17,PVA,100:40,<90,930,6,3.55,3.902,-0.41000000000000014,-6.840173506840176,-2.0919999999999996,-34.90156823490157,5063.0,161.36363636363635,31.376338028169016,59.3
106,71725:100:40:5%,Evans 12mm,2025-07-17,PVA,100:40,<90,930,6,3.34,3.764,-0.6200000000000001,-10.414916848647742,-2.1890000000000005,-36.77137577691921,4499.0,151.8181818181818,29.634131736526946,58.29
107,71725:100:40:5%,Evans 12mm,2025-07-17,PVA,100:40,<90,930,6,3.4,3.893,-0.56,-9.362982778799534,-2.088,-34.910550075238255,4667.0,154.54545454545453,30.198235294117648,57.55
108,71725:100:40:5%,Evans 12mm,2025-07-17,PVA,100:40,<90,930,6,3.53,3.933,-0.43000000000000016,-7.107438016528929,-2.117,-34.99173553719008,1973.0,160.45454545454544,12.296317280453259,58.76
109,71725:100:0:8%,Evans 12mm,2025-07-17,PVA,100:0,<90,930,6,3.66,5.296,-0.34999999999999964,-5.785123966942144,-0.7539999999999996,-12.462809917355365,3390.0,166.36363636363637,20.377049180327866,46.35
110,71725:100:0:8%,Evans 12mm,2025-07-17,PVA,100:0,<90,930,6,3.5,5.334,-0.5099999999999998,-8.889663587240715,-0.40300000000000047,-7.024577305211792,3970.0,159.0909090909091,24.954285714285714,43.6
111,71725:100:0:8%,Evans 12mm,2025-07-17,PVA,100:0,<90,930,6,3.5,5.399,-0.5099999999999998,-8.838821490467936,-0.37099999999999955,-6.429809358752159,3384.0,159.0909090909091,21.270857142857142,42.9
112,71725:100:0:5%,Evans 12mm,2025-07-17,PVA,100:5,<90,930,6,3.47,5.378,-0.5399999999999996,-9.204022498721656,-0.4889999999999999,-8.334753707175727,3117.0,157.72727272727275,19.76195965417867,42.63
113,71725:100:0:5%,Evans 12mm,2025-07-17,PVA,100:5,<90,930,6,3.47,5.344,-0.5399999999999996,-9.276756571035898,-0.4769999999999994,-8.19446830441504,3465.0,157.72727272727275,21.968299711815558,42.95
114,71725:100:0:5%,Evans 12mm,2025-07-17,PVA,100:5,<90,930,6,3.49,5.407,-0.5199999999999996,-8.994983566856938,-0.37399999999999967,-6.469468950008643,2228.0,158.63636363636365,14.044699140401145,42.57
115,71725:100:0:5%,Evans 12mm,2025-07-17,PVA,100:5,<90,930,6,3.53,5.436,-0.48,-8.19112627986348,-0.4240000000000004,-7.2354948805460815,3656.0,160.45454545454544,22.785269121813034,42.94
116,71725:100:0:5%,Evans 12mm,2025-07-17,PVA,100:5,<90,930,6,3.53,5.381,-0.48,-8.153558688635979,-0.5059999999999993,-8.595209784270416,3410.0,160.45454545454544,21.252124645892355,43.58
117,71125:100:20:HMW,Evans 12mm,2025-07-11,PVA,100:20,<90,930,6,3.66,4.701,-0.5999999999999996,-14.084507042253513,-1.2850000000000001,-21.46675576344805,2136.0,166.36363636363637,12.83934426229508,52.48
118,71125:100:20:HMW,Evans 12mm,2025-07-11,PVA,100:20,<90,930,6,3.52,4.657,-0.6599999999999997,-15.78947368421052,-1.2409999999999997,-21.041030857917935,2026.0,160.0,12.6625,51.05
119,71125:100:20:HMW,Evans 12mm,2025-07-11,PVA,100:20,<90,930,6,3.47,4.627,-0.6999999999999997,-16.786570743405267,-1.2599999999999998,-21.40309155766944,1883.0,157.72727272727275,11.938328530259364,50.62
120,71125:100:20:HMW,Evans 12mm,2025-07-11,PVA,100:20,<90,930,6,3.54,4.577,-0.6699999999999999,-15.914489311163893,-1.3120000000000003,-22.278824927831554,1966.0,160.9090909090909,12.218079096045198,52.13
